trt,rep,crop,control,rate
Cereal Rye terminated at plant + POST,4,Soybean,85,0.85
Cerealy Rye forage harvest + POST,1,Soybean,99,0.99
Cerealy Rye forage harvest + POST,2,Soybean,99,0.99
Cerealy Rye forage harvest + POST,3,Soybean,99,0.99
Cerealy Rye forage harvest + POST,4,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + POST,1,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + POST,2,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + POST,3,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + POST,4,Soybean,99,0.99
Tillage + PRE fb POST,1,Soybean,95,0.95
Tillage + PRE fb POST,2,Soybean,99,0.99
Tillage + PRE fb POST,3,Soybean,90,0.9
Tillage + PRE fb POST,4,Soybean,95,0.95
No-till + PRE fb POST,1,Soybean,90,0.9
No-till + PRE fb POST,2,Soybean,30,0.3
No-till + PRE fb POST,3,Soybean,80,0.8
No-till + PRE fb POST,4,Soybean,90,0.9
Cereal Rye terminated 2 weeks prior to plant + PRE fb POST,1,Soybean,80,0.8
Cereal Rye terminated 2 weeks prior to plant + PRE fb POST,2,Soybean,99,0.99
Cereal Rye terminated 2 weeks prior to plant + PRE fb POST,3,Soybean,99,0.99
Cereal Rye terminated 2 weeks prior to plant + PRE fb POST,4,Soybean,99,0.99
Cereal Rye terminated at plant + PRE fb POST,1,Soybean,90,0.9
Cereal Rye terminated at plant + PRE fb POST,2,Soybean,90,0.9
Cereal Rye terminated at plant + PRE fb POST,3,Soybean,99,0.99
Cereal Rye terminated at plant + PRE fb POST,4,Soybean,99,0.99
Cerealy Rye forage harvest + PRE fb POST,1,Soybean,95,0.95
Cerealy Rye forage harvest + PRE fb POST,2,Soybean,99,0.99
Cerealy Rye forage harvest + PRE fb POST,3,Soybean,99,0.99
Cerealy Rye forage harvest + PRE fb POST,4,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + PRE fb POST,1,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + PRE fb POST,2,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + PRE fb POST,3,Soybean,99,0.99
Cereal Rye terminated 2 weeks after plant + PRE fb POST,4,Soybean,99,0.99
